text,label
"produknya bagus banget, aku suka",0
"pelayanan sangat buruk dan tidak profesional",2
"biasa saja, tidak istimewa",1
"barang datang cepat, packing rapi",0
"sangat kecewa dengan kualitas produk",2
"cukup lumayan untuk harganya",1
"rekomendasi banget, worth it!",0
"adminnya lambat merespon",2
"tidak sesuai ekspektasi",2
"packing aman, barang berkualitas",0
"harganya mahal untuk kualitas segini",2
"proses pengiriman lambat",2
"produk original, terima kasih",0
"kurang puas dengan pelayanannya",2
"standar saja, biasa-biasa",1
"respon penjual cepat dan ramah",0
"barang cacat, sangat mengecewakan",2
"cocok dengan deskripsi",0
"tidak rekomendasi untuk dibeli",2
"proses transaksi lancar",0
"kualitas biasa, harganya terjangkau",1
"kurang memuaskan",2
"puas dengan pembelian ini",0
"barang tidak sama dengan foto",2
"layanan memuaskan",0
"pengiriman sangat lambat",2
"produknya oke, sesuai harga",1
"sangat membantu, terima kasih",0
"tidak akan beli lagi di sini",2
"cukup baik untuk pertama kali belanja",1
"rekomendasi seller ini",0
"barang rusak saat diterima",2
"pelayanan memuaskan",0
"harga terlalu mahal",2
"produk biasa tapi layanan bagus",1
"tidak ada masalah, barang oke",0
"sangat tidak direkomendasikan",2
"responsif dan ramah",0
"kualitas dibawah ekspektasi",2
"pas banget sama deskripsi",0
"tidak puas dengan produknya",2
"proses cepat, barang aman",0
"barang palsu, penipuan!",2
"mantap, keren banget",0
"tidak sesuai gambar",2
"rekomendasi untuk yang lain",0
"pelayanan buruk sekali",2
"produk original, puas",0
"harganya tidak worth it",2
"cukup memuaskan",1
"penjual sangat kooperatif",0
"barang jelek kualitasnya",2
"pengalaman belanja menyenangkan",0
"tidak seperti yang diharapkan",2
"fast respon, barang bagus",0
"sangat mengecewakan",2
"packing rapih, aman",0
"tidak ada yang spesial",1
"rekomendasi 100%",0
"barang nyaris rusak",2
"pelayanan memuaskan",0
"produk KW, jangan beli",2
"sesuai ekspektasi",0
"tidak layak jual",2
"cocok untuk kebutuhan sehari-hari",1
"penjual jujur dan terpercaya",0
"sangat tidak memuaskan",2
"barang sampai dengan selamat",0
"kualitas rendah",2
"rekomendasi untuk teman-teman",0
"tidak ada respon dari penjual",2
"proses pengiriman cepat",0
"barang tidak berfungsi",2
"puas dengan layanan",0
"harga tidak sesuai kualitas",2
"produk standar",1
"penjual sangat membantu",0
"barang bekas dikirim",2
"transaksi lancar",0
"tidak ada garansi",2
"rekomendasi untuk pembeli lain",0
"pelayanan kurang memuaskan",2
"barang original, terima kasih",0
"tidak direkomendasikan",2
"cukup baik untuk harga segitu",1
"respon cepat, barang oke",0
"produk cacat produksi",2
"pengiriman tepat waktu",0
"sangat buruk pengalamannya",2
"rekomendasi belanja di sini",0
"tidak sesuai deskripsi sama sekali",2
"pelayanan ramah dan cepat",0
"barang palsu, sangat kecewa",2
"kualitas produk bagus",0
"tidak akan kembali lagi",2
"harga bersahabat",1
"penjual profesional",0
"barang rusak parah",2
"pengalaman belanja baik",0
"tidak ada kompensasi",2
"produk recommended",0
"pelayanan tidak memuaskan",2
"barang sesuai gambar",0
"tidak layak pakai",2
"puas dengan transaksi",0
"kualitas jelek",2
"rekomendasi untuk seller ini",0
"tidak ada kabar pengiriman",2
"proses sangat memuaskan",0
